"Manufacturer","Model_Name","CPU","Display_Size","Operating_System","RAM","GPU","Screen_Resolution","Price_in_USD","Page","Product_Link"
"ACE","S11","INTEL","17""","WINDOWS","16GB","NVIDIA","7680 x 4320","321.46","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=6&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/ace-pad-s11-14inch-ram-6gb-rom-1920x1080-p-full-hd-ips-pantalla-intel-quad-core-cpu-windows10-pro-system_51053247/502297061.html"
"ACE","S11","NVIDIA","15.4""","LINUX","32GB","AMD","2560 x 1440","342.72","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=3&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/ace-pad-s11-14inch-ram-6gb-rom-1920x1080-p-full-hd-ips-pantalla-intel-quad-core-cpu-windows10-pro-system_51054460/502301701.html"
"ACE","Z156","ARM","17""","WINDOWS","32GB","ARM","1920 x 1080","342.72","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=10&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/ace-pad-z156-15-6inch-6gb-ram-64gb-ssd-500gb-hdd-windows10system-apollo-lake-quad-core-1920-1080fhd-ips-laptop-screen-ultrabook_51056961/502311041.html"
"ACE","Z156","NVIDIA","15.6""","WINDOWS","16GB","INTEL","7680 x 4320","342.72","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=6&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/ace-pad-z156-15-6inch-6gb-ram-64gb-ssd-500gb-hdd-windows10system-apollo-lake-quad-core-1920-1080fhd-ips-laptop-screen-ultrabook_51056961/502311041.html"
"ACE","S11","ARM","17""","LINUX","8GB","ARM","1280 x 720","342.72","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=10&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/ace-pad-s11-14inch-ram-6gb-rom-1920x1080-p-full-hd-ips-pantalla-intel-quad-core-cpu-windows10-pro-system_51054460/502301701.html"
"ACE","Z156","ARM","14""","LINUX","16GB","INTEL","1920 x 1080","342.72","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=8&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/ace-pad-z156-15-6inch-6gb-ram-64gb-ssd-500gb-hdd-windows10system-apollo-lake-quad-core-1920-1080fhd-ips-laptop-screen-ultrabook_51056961/502311041.html"
"ACE","Z156","ARM","13""","LINUX","16GB","AMD","7680 x 4320","342.72","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=5&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/ace-pad-z156-15-6inch-6gb-ram-64gb-ssd-500gb-hdd-windows10system-apollo-lake-quad-core-1920-1080fhd-ips-laptop-screen-ultrabook_51056961/502311041.html"
"ACE","S11","INTEL","13""","LINUX","32GB","INTEL","7680 x 4320","342.72","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=8&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/ace-pad-s11-14inch-ram-6gb-rom-1920x1080-p-full-hd-ips-pantalla-intel-quad-core-cpu-windows10-pro-system_51054460/502301701.html"
"ACE","S11","INTEL","14""","LINUX","16GB","ARM","1920 x 1080","342.72","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=11&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/ace-pad-s11-14inch-ram-6gb-rom-1920x1080-p-full-hd-ips-pantalla-intel-quad-core-cpu-windows10-pro-system_51054460/502301701.html"
"ACE","S11","INTEL","15.4""","WINDOWS","4GB","AMD","3840 x 2160","342.72","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=6&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/ace-pad-s11-14inch-ram-6gb-rom-1920x1080-p-full-hd-ips-pantalla-intel-quad-core-cpu-windows10-pro-system_51054460/502301701.html"
"ACE","Z156","INTEL","15.6""","WINDOWS","16GB","AMD","2560 x 1440","357.34","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=11&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/ace-pad-z156-15-6inch-6gb-ram-64gb-ssd1000gb-hdd-windows10system-apollo-lake-quad-core-1920-1080fhd-ips-laptop-screen-ultrabook_51056986/502311093.html"
"ACE","Z156","NVIDIA","17""","WINDOWS","4GB","ARM","1920 x 1080","357.34","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=5&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/ace-pad-z156-15-6inch-6gb-ram-64gb-ssd1000gb-hdd-windows10system-apollo-lake-quad-core-1920-1080fhd-ips-laptop-screen-ultrabook_51056986/502311093.html"
"ACE","Z156","INTEL","13""","LINUX","12GB","NVIDIA","2560 x 1440","357.34","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=8&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/ace-pad-z156-15-6inch-6gb-ram-64gb-ssd1000gb-hdd-windows10system-apollo-lake-quad-core-1920-1080fhd-ips-laptop-screen-ultrabook_51056986/502311093.html"
"ACE","Z156","ARM","17""","WINDOWS","16GB","AMD","1280 x 720","357.34","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=6&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/ace-pad-z156-15-6inch-6gb-ram-64gb-ssd1000gb-hdd-windows10system-apollo-lake-quad-core-1920-1080fhd-ips-laptop-screen-ultrabook_51056986/502311093.html"
"ACER","ASPIRE","ARM","15.4""","WINDOWS","16GB","NVIDIA","3840 x 2160","282.0","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=2&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/acer-aspire-3-a314-32-nx-gvysn-004-14-celeron-n4000-4gb-1tb-intel-hd-graphics-win-10-black_10414482/100896282.html"
"ACER","ASPIRE","NVIDIA","13""","LINUX","32GB","ARM","7680 x 4320","284.92","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=11&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/acer-aspire-a314-33-c1v8-nx-h6qsn-001-14-intel-celeron-n4000-4gb-500gb-intel-uhd-graphics-win-10-red_11602314/103753831.html"
"ACER","ASPIRE","INTEL","14""","LINUX","32GB","ARM","7680 x 4320","284.92","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=8&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/acer-aspire-a314-33-c1v8-nx-h6qsn-001-14-intel-celeron-n4000-4gb-500gb-intel-uhd-graphics-win-10-red_11602314/103753831.html"
"ACER","ASPIRE","INTEL","17""","WINDOWS","32GB","ARM","1280 x 720","284.92","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=8&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/acer-aspire-a314-33-c3a1-nx-h6asn-001-14-hd-intel-celeron-n4000-4gb-500gb-intel-uhd-graphics-win-10-black_11602326/103753849.html"
"ACER","ASPIRE","ARM","13""","LINUX","4GB","AMD","1280 x 720","284.92","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=7&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/acer-aspire-a314-33-c3a1-nx-h6asn-001-14-hd-intel-celeron-n4000-4gb-500gb-intel-uhd-graphics-win-10-black_11602326/103753849.html"
"ACER","ASPIRE","NVIDIA","15.4""","LINUX","8GB","AMD","7680 x 4320","284.92","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=11&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/acer-aspire-a314-33-c3a1-nx-h6asn-001-14-hd-intel-celeron-n4000-4gb-500gb-intel-uhd-graphics-win-10-black_11602326/103753849.html"
"ACER","ASPIRE","ARM","15.6""","WINDOWS","16GB","ARM","1920 x 1080","284.92","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=6&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/acer-aspire-a314-33-c1v8-nx-h6qsn-001-14-intel-celeron-n4000-4gb-500gb-intel-uhd-graphics-win-10-red_11602314/103753831.html"
"ACER","ASPIRE","INTEL","15.4""","WINDOWS","12GB","NVIDIA","2560 x 1440","284.92","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=6&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/acer-aspire-a314-33-c3a1-nx-h6asn-001-14-hd-intel-celeron-n4000-4gb-500gb-intel-uhd-graphics-win-10-black_11602326/103753849.html"
"ACER","ASPIRE","NVIDIA","14""","LINUX","12GB","NVIDIA","2560 x 1440","295.88","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=2&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/acer-aspire-3-a314-32-nx-gvysn-004-14-celeron-n4000-4gb-1tb-intel-hd-graphics-win-10-black_10414482/100896282.html"
"ACER","ASPIRE","INTEL","17""","LINUX","32GB","AMD","2560 x 1440","295.88","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=8&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/acer-aspire-3-a314-32-nx-gvysn-004-14-celeron-n4000-4gb-1tb-intel-hd-graphics-win-10-black_10414482/100896282.html"
"ACER","ASPIRE","NVIDIA","14""","LINUX","8GB","INTEL","1280 x 720","295.88","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=6&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/acer-aspire-3-a314-32-nx-gvysn-004-14-celeron-n4000-4gb-1tb-intel-hd-graphics-win-10-black_10414482/100896282.html"
"ACER","ASPIRE","ARM","17""","LINUX","32GB","AMD","7680 x 4320","295.88","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=9&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/acer-aspire-3-a314-32-nx-gvysn-004-14-celeron-n4000-4gb-1tb-intel-hd-graphics-win-10-black_10414482/100896282.html"
"ACER","ASPIRE","INTEL","15.6""","LINUX","8GB","AMD","3840 x 2160","299.54","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=7&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/acer-aspire-a314-33-c3a1-nx-h6asn-001-14-hd-intel-celeron-n4000-4gb-500gb-intel-uhd-graphics-win-10-black_11602326/103753849.html"
"ACER","ASPIRE","NVIDIA","15.4""","WINDOWS","16GB","AMD","3840 x 2160","306.84","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=8&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/acer-aspire-a314-33-c1v8-nx-h6qsn-001-14-intel-celeron-n4000-4gb-500gb-intel-uhd-graphics-win-10-red_11602314/103753831.html"
"ACER","ASPIRE","INTEL","17""","LINUX","16GB","NVIDIA","1280 x 720","328.77","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=6&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/acer-aspire-a314-41-983d-nx-h7msn-001-14-amd-a9-9420e-4gb-1tb-amd-radeon-r5-win-10-blue_11602171/103753684.html"
"ACER","ASPIRE","INTEL","13""","LINUX","16GB","AMD","1280 x 720","328.77","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=8&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/acer-aspire-a314-41-983d-nx-h7msn-001-14-amd-a9-9420e-4gb-1tb-amd-radeon-r5-win-10-blue_11602171/103753684.html"
"ACER","ASPIRE","ARM","13""","WINDOWS","4GB","ARM","7680 x 4320","328.77","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=6&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/acer-aspire-a314-41-9556-nx-h6msn-001-14-amd-a9-9420e-4gb-1tb-amd-radeon-r5-win-10-black_11602131/103753590.html"
"ACER","ASPIRE","ARM","13""","LINUX","32GB","ARM","1280 x 720","328.77","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=8&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/acer-aspire-a314-41-9556-nx-h6msn-001-14-amd-a9-9420e-4gb-1tb-amd-radeon-r5-win-10-black_11602131/103753590.html"
"ACER","ASPIRE","INTEL","15.6""","WINDOWS","8GB","AMD","3840 x 2160","339.73","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=8&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/acer-aspire-a314-41-983d-nx-h7msn-001-14-amd-a9-9420e-4gb-1tb-amd-radeon-r5-win-10-blue_11602171/103753684.html"
"ACER","ASPIRE","NVIDIA","14""","WINDOWS","12GB","NVIDIA","3840 x 2160","339.73","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=8&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/acer-aspire-a314-41-9556-nx-h6msn-001-14-amd-a9-9420e-4gb-1tb-amd-radeon-r5-win-10-black_11602131/103753590.html"
"ACER","ASPIRE","NVIDIA","14""","LINUX","12GB","ARM","3840 x 2160","350.69","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=8&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/acer-aspire-a314-41-9556-nx-h6msn-001-14-amd-a9-9420e-4gb-1tb-amd-radeon-r5-win-10-black_11602131/103753590.html"
"ACER","ASPIRE","NVIDIA","15.4""","WINDOWS","16GB","AMD","3840 x 2160","350.69","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=6&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/acer-aspire-a314-41-9556-nx-h6msn-001-14-amd-a9-9420e-4gb-1tb-amd-radeon-r5-win-10-black_11602131/103753590.html"
"ACER","Z476","NVIDIA","15.6""","LINUX","8GB","NVIDIA","1920 x 1080","401.84","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=6&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/acer-z476-un-cetsd-b01-14-intel-core-i3-6006u-4gb-1tb-intel-hd-graphics-520-win-10-home-black_10472278/101046415.html"
"ACER","Z476","INTEL","15.4""","LINUX","16GB","ARM","1920 x 1080","401.84","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=5&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/acer-z476-un-cetsd-b02-14-intel-core-i3-6006u-4gb-1tb-intel-hd-graphics-520-win-10-home-silver_10472279/101046416.html"
"ACER","E5-476-386Q","NVIDIA","15.6""","WINDOWS","16GB","INTEL","1280 x 720","416.46","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=8&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/acer-e5-476-386q-nx-gzqsn-001-14-intel-core-i3-7020u-4gb-1tb-integrated-graphics-win-10-gray_10414538/100896373.html"
"ACER","A514-51K-31U6","NVIDIA","17""","WINDOWS","4GB","NVIDIA","1280 x 720","416.46","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=6&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/acer-a514-51k-31u6-nx-h9vsn-14-hd-intel-core-i3-7020u-4gb-1tb-intel-uhd-graphics-win-10-silver_11691185/103858941.html"
"ACER","E5-476-386Q","ARM","17""","LINUX","16GB","ARM","3840 x 2160","416.46","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=3&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/acer-e5-476-386q-nx-gzqsn-001-14-intel-core-i3-7020u-4gb-1tb-integrated-graphics-win-10-gray_10414538/100896373.html"
"ACER","E5-476-386Q","NVIDIA","13""","LINUX","8GB","NVIDIA","7680 x 4320","416.46","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=2&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/acer-e5-476-386q-nx-gzqsn-001-14-intel-core-i3-7020u-4gb-1tb-integrated-graphics-win-10-gray_10414538/100896373.html"
"ACER","Z476","ARM","13""","LINUX","32GB","NVIDIA","2560 x 1440","416.46","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=6&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/acer-z476-un-cetsd-b02-14-intel-core-i3-6006u-4gb-1tb-intel-hd-graphics-520-win-10-home-silver_10472279/101046416.html"
"ACER","E5-476-386Q","INTEL","15.4""","LINUX","12GB","NVIDIA","1920 x 1080","416.46","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=4&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/acer-e5-476-386q-nx-gzqsn-001-14-intel-core-i3-7020u-4gb-1tb-integrated-graphics-win-10-gray_10414538/100896373.html"
"ACER","A514-51K-31U6","ARM","13""","WINDOWS","12GB","NVIDIA","1920 x 1080","416.46","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=8&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/acer-a514-51k-31u6-nx-h9vsn-14-hd-intel-core-i3-7020u-4gb-1tb-intel-uhd-graphics-win-10-silver_11691185/103858941.html"
"ACER","Z476","INTEL","15.4""","LINUX","16GB","AMD","3840 x 2160","416.46","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=6&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/acer-z476-un-cetsd-b01-14-intel-core-i3-6006u-4gb-1tb-intel-hd-graphics-520-win-10-home-black_10472278/101046415.html"
"ACER","Z476","ARM","15.6""","LINUX","32GB","AMD","1920 x 1080","416.46","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=5&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/acer-z476-un-cetsd-b02-14-intel-core-i3-6006u-4gb-1tb-intel-hd-graphics-520-win-10-home-silver_10472279/101046416.html"
"ACER","Z476","INTEL","15.6""","LINUX","12GB","AMD","2560 x 1440","420.11","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=6&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/acer-z476-un-cetsd-b01-14-intel-core-i3-6006u-4gb-1tb-intel-hd-graphics-520-win-10-home-black_10472278/101046415.html"
"ACER","Z476","NVIDIA","15.6""","WINDOWS","12GB","ARM","2560 x 1440","420.11","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=5&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/acer-z476-un-cetsd-b02-14-intel-core-i3-6006u-4gb-1tb-intel-hd-graphics-520-win-10-home-silver_10472279/101046416.html"
"ACER","E5-476-386Q","ARM","15.6""","LINUX","8GB","INTEL","2560 x 1440","427.42","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=2&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/acer-e5-476-386q-nx-gzqsn-001-14-intel-core-i3-7020u-4gb-1tb-integrated-graphics-win-10-gray_10414538/100896373.html"
"ACER","ASPIRE","NVIDIA","15.4""","LINUX","16GB","NVIDIA","1920 x 1080","429.24","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=12&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/acer-aspire-3-a315-41g-un-gybsd-002-15-6-amd-ryzen-3-2200u-4gb-1tb-amd-radeon-535-2gb-win-10-home-black_10472991/101048313.html"
"ACER","ASPIRE","INTEL","13""","LINUX","32GB","NVIDIA","7680 x 4320","429.24","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=6&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/acer-aspire-3-a315-41g-un-gybsd-002-15-6-amd-ryzen-3-2200u-4gb-1tb-amd-radeon-535-2gb-win-10-home-black_10472991/101048313.html"
"ACER","ASPIRE","INTEL","15.4""","LINUX","12GB","NVIDIA","1920 x 1080","429.24","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=5&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/acer-aspire-3-a315-41g-un-gybsd-002-15-6-amd-ryzen-3-2200u-4gb-1tb-amd-radeon-535-2gb-win-10-home-black_10472991/101048313.html"
"ACER","Z476","ARM","13""","LINUX","16GB","NVIDIA","7680 x 4320","431.07","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=8&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/acer-z476-un-cetsd-b01-14-intel-core-i3-6006u-4gb-1tb-intel-hd-graphics-520-win-10-home-black_10472278/101046415.html"
"ACER","Z476","NVIDIA","15.6""","LINUX","8GB","AMD","1920 x 1080","431.07","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=8&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/acer-z476-un-cetsd-b02-14-intel-core-i3-6006u-4gb-1tb-intel-hd-graphics-520-win-10-home-silver_10472279/101046416.html"
"ACER","Z476","INTEL","17""","LINUX","16GB","AMD","3840 x 2160","431.07","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=5&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/acer-z476-un-cetsd-b02-14-intel-core-i3-6006u-4gb-1tb-intel-hd-graphics-520-win-10-home-silver_10472279/101046416.html"
"ACER","Z476","NVIDIA","15.6""","WINDOWS","16GB","NVIDIA","1920 x 1080","431.07","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=10&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/acer-z476-un-cetsd-b02-14-intel-core-i3-6006u-4gb-1tb-intel-hd-graphics-520-win-10-home-silver_10472279/101046416.html"
"ACER","Z476","ARM","15.4""","LINUX","12GB","AMD","2560 x 1440","431.07","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=6&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/acer-z476-un-cetsd-b01-14-intel-core-i3-6006u-4gb-1tb-intel-hd-graphics-520-win-10-home-black_10472278/101046415.html"
"ACER","Z476","NVIDIA","14""","LINUX","8GB","ARM","1280 x 720","431.07","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=12&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/acer-z476-un-cetsd-b01-14-intel-core-i3-6006u-4gb-1tb-intel-hd-graphics-520-win-10-home-black_10472278/101046415.html"
"ACER","A514-51K-31U6","NVIDIA","13""","LINUX","32GB","ARM","1280 x 720","438.38","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=8&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/acer-a514-51k-31u6-nx-h9vsn-14-hd-intel-core-i3-7020u-4gb-1tb-intel-uhd-graphics-win-10-silver_11691185/103858941.html"
"ACER","E5-476-386Q","INTEL","14""","WINDOWS","4GB","INTEL","2560 x 1440","445.69","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=3&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/acer-e5-476-386q-nx-gzqsn-001-14-intel-core-i3-7020u-4gb-1tb-integrated-graphics-win-10-gray_10414538/100896373.html"
"ACER","A514-51K-31U6","ARM","15.6""","LINUX","4GB","INTEL","3840 x 2160","445.69","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=8&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/acer-a514-51k-31u6-nx-h9vsn-14-hd-intel-core-i3-7020u-4gb-1tb-intel-uhd-graphics-win-10-silver_11691185/103858941.html"
"ACER","A514-51K-31U6","ARM","15.6""","LINUX","16GB","ARM","3840 x 2160","445.69","https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=10&pageSize=60&sortType=sort_default_desc","//www.jd.id/product/acer-a514-51k-31u6-nx-h9vsn-14-hd-intel-core-i3-7020u-4gb-1tb-intel-uhd-graphics-win-10-silver_11691185/103858941.html"
