,Page,Manufacturer,Model_Name,Price_in_USD,Product_Link,CPU,Display_Size,Operating_System,RAM,GPU,Screen_Resolution
10,https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=6&pageSize=60&sortType=sort_default_desc,ACE,S11,321.46,//www.jd.id/product/ace-pad-s11-14inch-ram-6gb-rom-1920x1080-p-full-hd-ips-pantalla-intel-quad-core-cpu-windows10-pro-system_51053247/502297061.html,INTEL,"17""",WINDOWS,16GB,NVIDIA,7680 x 4320
11,https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=3&pageSize=60&sortType=sort_default_desc,ACE,S11,342.72,//www.jd.id/product/ace-pad-s11-14inch-ram-6gb-rom-1920x1080-p-full-hd-ips-pantalla-intel-quad-core-cpu-windows10-pro-system_51054460/502301701.html,NVIDIA,"15.4""",LINUX,32GB,AMD,2560 x 1440
12,https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=10&pageSize=60&sortType=sort_default_desc,ACE,Z156,342.72,//www.jd.id/product/ace-pad-z156-15-6inch-6gb-ram-64gb-ssd-500gb-hdd-windows10system-apollo-lake-quad-core-1920-1080fhd-ips-laptop-screen-ultrabook_51056961/502311041.html,ARM,"17""",WINDOWS,32GB,ARM,1920 x 1080
13,https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=6&pageSize=60&sortType=sort_default_desc,ACE,Z156,342.72,//www.jd.id/product/ace-pad-z156-15-6inch-6gb-ram-64gb-ssd-500gb-hdd-windows10system-apollo-lake-quad-core-1920-1080fhd-ips-laptop-screen-ultrabook_51056961/502311041.html,NVIDIA,"15.6""",WINDOWS,16GB,INTEL,7680 x 4320
14,https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=10&pageSize=60&sortType=sort_default_desc,ACE,S11,342.72,//www.jd.id/product/ace-pad-s11-14inch-ram-6gb-rom-1920x1080-p-full-hd-ips-pantalla-intel-quad-core-cpu-windows10-pro-system_51054460/502301701.html,ARM,"17""",LINUX,8GB,ARM,1280 x 720
15,https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=8&pageSize=60&sortType=sort_default_desc,ACE,Z156,342.72,//www.jd.id/product/ace-pad-z156-15-6inch-6gb-ram-64gb-ssd-500gb-hdd-windows10system-apollo-lake-quad-core-1920-1080fhd-ips-laptop-screen-ultrabook_51056961/502311041.html,ARM,"14""",LINUX,16GB,INTEL,1920 x 1080
16,https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=5&pageSize=60&sortType=sort_default_desc,ACE,Z156,342.72,//www.jd.id/product/ace-pad-z156-15-6inch-6gb-ram-64gb-ssd-500gb-hdd-windows10system-apollo-lake-quad-core-1920-1080fhd-ips-laptop-screen-ultrabook_51056961/502311041.html,ARM,"13""",LINUX,16GB,AMD,7680 x 4320
17,https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=8&pageSize=60&sortType=sort_default_desc,ACE,S11,342.72,//www.jd.id/product/ace-pad-s11-14inch-ram-6gb-rom-1920x1080-p-full-hd-ips-pantalla-intel-quad-core-cpu-windows10-pro-system_51054460/502301701.html,INTEL,"13""",LINUX,32GB,INTEL,7680 x 4320
18,https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=11&pageSize=60&sortType=sort_default_desc,ACE,S11,342.72,//www.jd.id/product/ace-pad-s11-14inch-ram-6gb-rom-1920x1080-p-full-hd-ips-pantalla-intel-quad-core-cpu-windows10-pro-system_51054460/502301701.html,INTEL,"14""",LINUX,16GB,ARM,1920 x 1080
19,https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=6&pageSize=60&sortType=sort_default_desc,ACE,S11,342.72,//www.jd.id/product/ace-pad-s11-14inch-ram-6gb-rom-1920x1080-p-full-hd-ips-pantalla-intel-quad-core-cpu-windows10-pro-system_51054460/502301701.html,INTEL,"15.4""",WINDOWS,4GB,AMD,3840 x 2160
20,https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=11&pageSize=60&sortType=sort_default_desc,ACE,Z156,357.34,//www.jd.id/product/ace-pad-z156-15-6inch-6gb-ram-64gb-ssd1000gb-hdd-windows10system-apollo-lake-quad-core-1920-1080fhd-ips-laptop-screen-ultrabook_51056986/502311093.html,INTEL,"15.6""",WINDOWS,16GB,AMD,2560 x 1440
21,https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=5&pageSize=60&sortType=sort_default_desc,ACE,Z156,357.34,//www.jd.id/product/ace-pad-z156-15-6inch-6gb-ram-64gb-ssd1000gb-hdd-windows10system-apollo-lake-quad-core-1920-1080fhd-ips-laptop-screen-ultrabook_51056986/502311093.html,NVIDIA,"17""",WINDOWS,4GB,ARM,1920 x 1080
22,https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=8&pageSize=60&sortType=sort_default_desc,ACE,Z156,357.34,//www.jd.id/product/ace-pad-z156-15-6inch-6gb-ram-64gb-ssd1000gb-hdd-windows10system-apollo-lake-quad-core-1920-1080fhd-ips-laptop-screen-ultrabook_51056986/502311093.html,INTEL,"13""",LINUX,12GB,NVIDIA,2560 x 1440
23,https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=6&pageSize=60&sortType=sort_default_desc,ACE,Z156,357.34,//www.jd.id/product/ace-pad-z156-15-6inch-6gb-ram-64gb-ssd1000gb-hdd-windows10system-apollo-lake-quad-core-1920-1080fhd-ips-laptop-screen-ultrabook_51056986/502311093.html,ARM,"17""",WINDOWS,16GB,AMD,1280 x 720
24,https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=2&pageSize=60&sortType=sort_default_desc,ACER,ASPIRE,282.0,//www.jd.id/product/acer-aspire-3-a314-32-nx-gvysn-004-14-celeron-n4000-4gb-1tb-intel-hd-graphics-win-10-black_10414482/100896282.html,ARM,"15.4""",WINDOWS,16GB,NVIDIA,3840 x 2160
25,https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=11&pageSize=60&sortType=sort_default_desc,ACER,ASPIRE,284.92,//www.jd.id/product/acer-aspire-a314-33-c1v8-nx-h6qsn-001-14-intel-celeron-n4000-4gb-500gb-intel-uhd-graphics-win-10-red_11602314/103753831.html,NVIDIA,"13""",LINUX,32GB,ARM,7680 x 4320
26,https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=8&pageSize=60&sortType=sort_default_desc,ACER,ASPIRE,284.92,//www.jd.id/product/acer-aspire-a314-33-c1v8-nx-h6qsn-001-14-intel-celeron-n4000-4gb-500gb-intel-uhd-graphics-win-10-red_11602314/103753831.html,INTEL,"14""",LINUX,32GB,ARM,7680 x 4320
27,https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=8&pageSize=60&sortType=sort_default_desc,ACER,ASPIRE,284.92,//www.jd.id/product/acer-aspire-a314-33-c3a1-nx-h6asn-001-14-hd-intel-celeron-n4000-4gb-500gb-intel-uhd-graphics-win-10-black_11602326/103753849.html,INTEL,"17""",WINDOWS,32GB,ARM,1280 x 720
28,https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=7&pageSize=60&sortType=sort_default_desc,ACER,ASPIRE,284.92,//www.jd.id/product/acer-aspire-a314-33-c3a1-nx-h6asn-001-14-hd-intel-celeron-n4000-4gb-500gb-intel-uhd-graphics-win-10-black_11602326/103753849.html,ARM,"13""",LINUX,4GB,AMD,1280 x 720
29,https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=11&pageSize=60&sortType=sort_default_desc,ACER,ASPIRE,284.92,//www.jd.id/product/acer-aspire-a314-33-c3a1-nx-h6asn-001-14-hd-intel-celeron-n4000-4gb-500gb-intel-uhd-graphics-win-10-black_11602326/103753849.html,NVIDIA,"15.4""",LINUX,8GB,AMD,7680 x 4320
30,https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=6&pageSize=60&sortType=sort_default_desc,ACER,ASPIRE,284.92,//www.jd.id/product/acer-aspire-a314-33-c1v8-nx-h6qsn-001-14-intel-celeron-n4000-4gb-500gb-intel-uhd-graphics-win-10-red_11602314/103753831.html,ARM,"15.6""",WINDOWS,16GB,ARM,1920 x 1080
31,https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=6&pageSize=60&sortType=sort_default_desc,ACER,ASPIRE,284.92,//www.jd.id/product/acer-aspire-a314-33-c3a1-nx-h6asn-001-14-hd-intel-celeron-n4000-4gb-500gb-intel-uhd-graphics-win-10-black_11602326/103753849.html,INTEL,"15.4""",WINDOWS,12GB,NVIDIA,2560 x 1440
32,https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=2&pageSize=60&sortType=sort_default_desc,ACER,ASPIRE,295.88,//www.jd.id/product/acer-aspire-3-a314-32-nx-gvysn-004-14-celeron-n4000-4gb-1tb-intel-hd-graphics-win-10-black_10414482/100896282.html,NVIDIA,"14""",LINUX,12GB,NVIDIA,2560 x 1440
33,https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=8&pageSize=60&sortType=sort_default_desc,ACER,ASPIRE,295.88,//www.jd.id/product/acer-aspire-3-a314-32-nx-gvysn-004-14-celeron-n4000-4gb-1tb-intel-hd-graphics-win-10-black_10414482/100896282.html,INTEL,"17""",LINUX,32GB,AMD,2560 x 1440
34,https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=6&pageSize=60&sortType=sort_default_desc,ACER,ASPIRE,295.88,//www.jd.id/product/acer-aspire-3-a314-32-nx-gvysn-004-14-celeron-n4000-4gb-1tb-intel-hd-graphics-win-10-black_10414482/100896282.html,NVIDIA,"14""",LINUX,8GB,INTEL,1280 x 720
35,https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=9&pageSize=60&sortType=sort_default_desc,ACER,ASPIRE,295.88,//www.jd.id/product/acer-aspire-3-a314-32-nx-gvysn-004-14-celeron-n4000-4gb-1tb-intel-hd-graphics-win-10-black_10414482/100896282.html,ARM,"17""",LINUX,32GB,AMD,7680 x 4320
36,https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=7&pageSize=60&sortType=sort_default_desc,ACER,ASPIRE,299.54,//www.jd.id/product/acer-aspire-a314-33-c3a1-nx-h6asn-001-14-hd-intel-celeron-n4000-4gb-500gb-intel-uhd-graphics-win-10-black_11602326/103753849.html,INTEL,"15.6""",LINUX,8GB,AMD,3840 x 2160
37,https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=8&pageSize=60&sortType=sort_default_desc,ACER,ASPIRE,306.84,//www.jd.id/product/acer-aspire-a314-33-c1v8-nx-h6qsn-001-14-intel-celeron-n4000-4gb-500gb-intel-uhd-graphics-win-10-red_11602314/103753831.html,NVIDIA,"15.4""",WINDOWS,16GB,AMD,3840 x 2160
38,https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=6&pageSize=60&sortType=sort_default_desc,ACER,ASPIRE,328.77,//www.jd.id/product/acer-aspire-a314-41-983d-nx-h7msn-001-14-amd-a9-9420e-4gb-1tb-amd-radeon-r5-win-10-blue_11602171/103753684.html,INTEL,"17""",LINUX,16GB,NVIDIA,1280 x 720
39,https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=8&pageSize=60&sortType=sort_default_desc,ACER,ASPIRE,328.77,//www.jd.id/product/acer-aspire-a314-41-983d-nx-h7msn-001-14-amd-a9-9420e-4gb-1tb-amd-radeon-r5-win-10-blue_11602171/103753684.html,INTEL,"13""",LINUX,16GB,AMD,1280 x 720
40,https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=6&pageSize=60&sortType=sort_default_desc,ACER,ASPIRE,328.77,//www.jd.id/product/acer-aspire-a314-41-9556-nx-h6msn-001-14-amd-a9-9420e-4gb-1tb-amd-radeon-r5-win-10-black_11602131/103753590.html,ARM,"13""",WINDOWS,4GB,ARM,7680 x 4320
41,https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=8&pageSize=60&sortType=sort_default_desc,ACER,ASPIRE,328.77,//www.jd.id/product/acer-aspire-a314-41-9556-nx-h6msn-001-14-amd-a9-9420e-4gb-1tb-amd-radeon-r5-win-10-black_11602131/103753590.html,ARM,"13""",LINUX,32GB,ARM,1280 x 720
42,https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=8&pageSize=60&sortType=sort_default_desc,ACER,ASPIRE,339.73,//www.jd.id/product/acer-aspire-a314-41-983d-nx-h7msn-001-14-amd-a9-9420e-4gb-1tb-amd-radeon-r5-win-10-blue_11602171/103753684.html,INTEL,"15.6""",WINDOWS,8GB,AMD,3840 x 2160
43,https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=8&pageSize=60&sortType=sort_default_desc,ACER,ASPIRE,339.73,//www.jd.id/product/acer-aspire-a314-41-9556-nx-h6msn-001-14-amd-a9-9420e-4gb-1tb-amd-radeon-r5-win-10-black_11602131/103753590.html,NVIDIA,"14""",WINDOWS,12GB,NVIDIA,3840 x 2160
44,https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=8&pageSize=60&sortType=sort_default_desc,ACER,ASPIRE,350.69,//www.jd.id/product/acer-aspire-a314-41-9556-nx-h6msn-001-14-amd-a9-9420e-4gb-1tb-amd-radeon-r5-win-10-black_11602131/103753590.html,NVIDIA,"14""",LINUX,12GB,ARM,3840 x 2160
45,https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=6&pageSize=60&sortType=sort_default_desc,ACER,ASPIRE,350.69,//www.jd.id/product/acer-aspire-a314-41-9556-nx-h6msn-001-14-amd-a9-9420e-4gb-1tb-amd-radeon-r5-win-10-black_11602131/103753590.html,NVIDIA,"15.4""",WINDOWS,16GB,AMD,3840 x 2160
46,https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=6&pageSize=60&sortType=sort_default_desc,ACER,Z476,401.84,//www.jd.id/product/acer-z476-un-cetsd-b01-14-intel-core-i3-6006u-4gb-1tb-intel-hd-graphics-520-win-10-home-black_10472278/101046415.html,NVIDIA,"15.6""",LINUX,8GB,NVIDIA,1920 x 1080
47,https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=5&pageSize=60&sortType=sort_default_desc,ACER,Z476,401.84,//www.jd.id/product/acer-z476-un-cetsd-b02-14-intel-core-i3-6006u-4gb-1tb-intel-hd-graphics-520-win-10-home-silver_10472279/101046416.html,INTEL,"15.4""",LINUX,16GB,ARM,1920 x 1080
48,https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=8&pageSize=60&sortType=sort_default_desc,ACER,E5-476-386Q,416.46,//www.jd.id/product/acer-e5-476-386q-nx-gzqsn-001-14-intel-core-i3-7020u-4gb-1tb-integrated-graphics-win-10-gray_10414538/100896373.html,NVIDIA,"15.6""",WINDOWS,16GB,INTEL,1280 x 720
49,https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=6&pageSize=60&sortType=sort_default_desc,ACER,A514-51K-31U6,416.46,//www.jd.id/product/acer-a514-51k-31u6-nx-h9vsn-14-hd-intel-core-i3-7020u-4gb-1tb-intel-uhd-graphics-win-10-silver_11691185/103858941.html,NVIDIA,"17""",WINDOWS,4GB,NVIDIA,1280 x 720
50,https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=3&pageSize=60&sortType=sort_default_desc,ACER,E5-476-386Q,416.46,//www.jd.id/product/acer-e5-476-386q-nx-gzqsn-001-14-intel-core-i3-7020u-4gb-1tb-integrated-graphics-win-10-gray_10414538/100896373.html,ARM,"17""",LINUX,16GB,ARM,3840 x 2160
51,https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=2&pageSize=60&sortType=sort_default_desc,ACER,E5-476-386Q,416.46,//www.jd.id/product/acer-e5-476-386q-nx-gzqsn-001-14-intel-core-i3-7020u-4gb-1tb-integrated-graphics-win-10-gray_10414538/100896373.html,NVIDIA,"13""",LINUX,8GB,NVIDIA,7680 x 4320
52,https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=6&pageSize=60&sortType=sort_default_desc,ACER,Z476,416.46,//www.jd.id/product/acer-z476-un-cetsd-b02-14-intel-core-i3-6006u-4gb-1tb-intel-hd-graphics-520-win-10-home-silver_10472279/101046416.html,ARM,"13""",LINUX,32GB,NVIDIA,2560 x 1440
53,https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=4&pageSize=60&sortType=sort_default_desc,ACER,E5-476-386Q,416.46,//www.jd.id/product/acer-e5-476-386q-nx-gzqsn-001-14-intel-core-i3-7020u-4gb-1tb-integrated-graphics-win-10-gray_10414538/100896373.html,INTEL,"15.4""",LINUX,12GB,NVIDIA,1920 x 1080
54,https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=8&pageSize=60&sortType=sort_default_desc,ACER,A514-51K-31U6,416.46,//www.jd.id/product/acer-a514-51k-31u6-nx-h9vsn-14-hd-intel-core-i3-7020u-4gb-1tb-intel-uhd-graphics-win-10-silver_11691185/103858941.html,ARM,"13""",WINDOWS,12GB,NVIDIA,1920 x 1080
55,https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=6&pageSize=60&sortType=sort_default_desc,ACER,Z476,416.46,//www.jd.id/product/acer-z476-un-cetsd-b01-14-intel-core-i3-6006u-4gb-1tb-intel-hd-graphics-520-win-10-home-black_10472278/101046415.html,INTEL,"15.4""",LINUX,16GB,AMD,3840 x 2160
56,https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=5&pageSize=60&sortType=sort_default_desc,ACER,Z476,416.46,//www.jd.id/product/acer-z476-un-cetsd-b02-14-intel-core-i3-6006u-4gb-1tb-intel-hd-graphics-520-win-10-home-silver_10472279/101046416.html,ARM,"15.6""",LINUX,32GB,AMD,1920 x 1080
57,https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=6&pageSize=60&sortType=sort_default_desc,ACER,Z476,420.11,//www.jd.id/product/acer-z476-un-cetsd-b01-14-intel-core-i3-6006u-4gb-1tb-intel-hd-graphics-520-win-10-home-black_10472278/101046415.html,INTEL,"15.6""",LINUX,12GB,AMD,2560 x 1440
58,https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=5&pageSize=60&sortType=sort_default_desc,ACER,Z476,420.11,//www.jd.id/product/acer-z476-un-cetsd-b02-14-intel-core-i3-6006u-4gb-1tb-intel-hd-graphics-520-win-10-home-silver_10472279/101046416.html,NVIDIA,"15.6""",WINDOWS,12GB,ARM,2560 x 1440
59,https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=2&pageSize=60&sortType=sort_default_desc,ACER,E5-476-386Q,427.42,//www.jd.id/product/acer-e5-476-386q-nx-gzqsn-001-14-intel-core-i3-7020u-4gb-1tb-integrated-graphics-win-10-gray_10414538/100896373.html,ARM,"15.6""",LINUX,8GB,INTEL,2560 x 1440
60,https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=12&pageSize=60&sortType=sort_default_desc,ACER,ASPIRE,429.24,//www.jd.id/product/acer-aspire-3-a315-41g-un-gybsd-002-15-6-amd-ryzen-3-2200u-4gb-1tb-amd-radeon-535-2gb-win-10-home-black_10472991/101048313.html,NVIDIA,"15.4""",LINUX,16GB,NVIDIA,1920 x 1080
61,https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=6&pageSize=60&sortType=sort_default_desc,ACER,ASPIRE,429.24,//www.jd.id/product/acer-aspire-3-a315-41g-un-gybsd-002-15-6-amd-ryzen-3-2200u-4gb-1tb-amd-radeon-535-2gb-win-10-home-black_10472991/101048313.html,INTEL,"13""",LINUX,32GB,NVIDIA,7680 x 4320
62,https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=5&pageSize=60&sortType=sort_default_desc,ACER,ASPIRE,429.24,//www.jd.id/product/acer-aspire-3-a315-41g-un-gybsd-002-15-6-amd-ryzen-3-2200u-4gb-1tb-amd-radeon-535-2gb-win-10-home-black_10472991/101048313.html,INTEL,"15.4""",LINUX,12GB,NVIDIA,1920 x 1080
63,https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=8&pageSize=60&sortType=sort_default_desc,ACER,Z476,431.07,//www.jd.id/product/acer-z476-un-cetsd-b01-14-intel-core-i3-6006u-4gb-1tb-intel-hd-graphics-520-win-10-home-black_10472278/101046415.html,ARM,"13""",LINUX,16GB,NVIDIA,7680 x 4320
64,https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=8&pageSize=60&sortType=sort_default_desc,ACER,Z476,431.07,//www.jd.id/product/acer-z476-un-cetsd-b02-14-intel-core-i3-6006u-4gb-1tb-intel-hd-graphics-520-win-10-home-silver_10472279/101046416.html,NVIDIA,"15.6""",LINUX,8GB,AMD,1920 x 1080
65,https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=5&pageSize=60&sortType=sort_default_desc,ACER,Z476,431.07,//www.jd.id/product/acer-z476-un-cetsd-b02-14-intel-core-i3-6006u-4gb-1tb-intel-hd-graphics-520-win-10-home-silver_10472279/101046416.html,INTEL,"17""",LINUX,16GB,AMD,3840 x 2160
66,https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=10&pageSize=60&sortType=sort_default_desc,ACER,Z476,431.07,//www.jd.id/product/acer-z476-un-cetsd-b02-14-intel-core-i3-6006u-4gb-1tb-intel-hd-graphics-520-win-10-home-silver_10472279/101046416.html,NVIDIA,"15.6""",WINDOWS,16GB,NVIDIA,1920 x 1080
67,https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=6&pageSize=60&sortType=sort_default_desc,ACER,Z476,431.07,//www.jd.id/product/acer-z476-un-cetsd-b01-14-intel-core-i3-6006u-4gb-1tb-intel-hd-graphics-520-win-10-home-black_10472278/101046415.html,ARM,"15.4""",LINUX,12GB,AMD,2560 x 1440
68,https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=12&pageSize=60&sortType=sort_default_desc,ACER,Z476,431.07,//www.jd.id/product/acer-z476-un-cetsd-b01-14-intel-core-i3-6006u-4gb-1tb-intel-hd-graphics-520-win-10-home-black_10472278/101046415.html,NVIDIA,"14""",LINUX,8GB,ARM,1280 x 720
69,https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=8&pageSize=60&sortType=sort_default_desc,ACER,A514-51K-31U6,438.38,//www.jd.id/product/acer-a514-51k-31u6-nx-h9vsn-14-hd-intel-core-i3-7020u-4gb-1tb-intel-uhd-graphics-win-10-silver_11691185/103858941.html,NVIDIA,"13""",LINUX,32GB,ARM,1280 x 720
70,https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=3&pageSize=60&sortType=sort_default_desc,ACER,E5-476-386Q,445.69,//www.jd.id/product/acer-e5-476-386q-nx-gzqsn-001-14-intel-core-i3-7020u-4gb-1tb-integrated-graphics-win-10-gray_10414538/100896373.html,INTEL,"14""",WINDOWS,4GB,INTEL,2560 x 1440
71,https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=8&pageSize=60&sortType=sort_default_desc,ACER,A514-51K-31U6,445.69,//www.jd.id/product/acer-a514-51k-31u6-nx-h9vsn-14-hd-intel-core-i3-7020u-4gb-1tb-intel-uhd-graphics-win-10-silver_11691185/103858941.html,ARM,"15.6""",LINUX,4GB,INTEL,3840 x 2160
72,https://www.jd.id/category/jual-laptop-875061490.html?searchtype=sh&page=10&pageSize=60&sortType=sort_default_desc,ACER,A514-51K-31U6,445.69,//www.jd.id/product/acer-a514-51k-31u6-nx-h9vsn-14-hd-intel-core-i3-7020u-4gb-1tb-intel-uhd-graphics-win-10-silver_11691185/103858941.html,ARM,"15.6""",LINUX,16GB,ARM,3840 x 2160
